outer,rho_eq,rho_low,rho_up,inner_fun,inner_nit,inner_success,inner_message,time_inner_s,base_obj,eq_v,low_v,up_v,total_v
1,1.0,1.0,1.0,-0.3176063239655871,15,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.004483938217163086,-0.3343791714321147,0.11046435111250297,0.024192725903790357,0.04332624668734977,0.11046435111250297
2,10.0,10.0,10.0,-0.3022610562896084,8,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0004749298095703125,-0.3039944913575946,0.011200045564558225,0.002445186506540757,0.004456778635070019,0.011200045564558225
3,20.0,20.0,20.0,-0.301393527616506,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.00035881996154785156,-0.30226187676549443,0.005605113120427552,0.001224640193804157,0.002231518656997389,0.005605113120427552
4,40.0,40.0,40.0,-0.30095915677675655,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0002689361572265625,-0.30139373489714355,0.0028037615826321804,0.0006126457929873887,0.001116547857637623,0.0028037615826321804
5,80.0,80.0,80.0,-0.3007418194671306,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0002560615539550781,-0.30095920955376504,0.001402182428324128,0.0003064041729414983,0.0005584712277404424,0.001402182428324128
6,160.0,160.0,160.0,-0.30063311280204713,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.00025391578674316406,-0.3007418331186825,0.0007011666630059032,0.00015322239384081736,0.00027928496566936856,0.0007011666630059032
7,320.0,320.0,320.0,-0.3005787499622019,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.00024771690368652344,-0.3006331164409441,0.0003506021987060848,7.661627224419596e-05,0.00013965482416078423,0.0003506021987060848
8,640.0,640.0,640.0,-0.3005515661648609,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.00023698806762695312,-0.3005787509846004,0.000175305816780158,3.830940476087237e-05,6.983049783401696e-05,0.000175305816780158
9,1280.0,1280.0,1280.0,-0.30053797367176177,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0002391338348388672,-0.30055156647675635,8.765408782496209e-05,1.9155019515976392e-05,3.4916020408143345e-05,8.765408782496209e-05
10,2560.0,2560.0,2560.0,-0.30053117727659584,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0004343986511230469,-0.30053797377787844,4.382733878105505e-05,9.577589038844947e-06,1.7458203083464685e-05,4.382733878105505e-05
11,5120.0,5120.0,5120.0,-0.3005277790418575,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.00030517578125,-0.3005311773171957,2.1913743109003292e-05,4.788814339245477e-06,8.729149762409794e-06,2.1913743109003292e-05
12,10240.0,10240.0,10240.0,-0.30052607991519936,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0002949237823486328,-0.30052777905904277,1.0956889984203855e-05,2.394412124548075e-06,4.364586936450587e-06,1.0956889984203855e-05
13,20480.0,20480.0,20480.0,-0.30052523034954814,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.00026106834411621094,-0.3005260799230134,5.4784495995274796e-06,1.1972073009963424e-06,2.1822964820783497e-06,5.4784495995274796e-06
